Chemical formula,Band gap,Crystallinity
Bi2Te3,0.153,Single crystalline
Mg2Ge,0.567,Single crystalline
CoSi,0.045,Single crystalline
NaBr,7.025,Single crystalline
Ca2Sn,0.9,Polycrystalline
As2S3,2.57,Single crystalline
ZnO,3.35,Single crystalline
Cu2Se,1.23,Single crystalline
GeTe,0.7,Amorphous
CaF2,10,Single crystalline
DyN,2.1,
Sb2Se3,1.15,Polycrystalline
InAs,0.404,Single crystalline
CdI2,3.2,Single crystalline
La2S3,1.32,Polycrystalline
Mg3Sb2,0.82,Polycrystalline
Cu2Te,1.15,Polycrystalline
PbTe,0.19,Single crystalline
CdSb,0.465,
CaO,6.1,Single crystalline
As2S3,2,Amorphous
Mg2Ge,0.57,Single crystalline
CaS,6.0,Polycrystalline
Eu3As2,0.6,Single crystalline
AgBr,2.676,Single crystalline
ZnTe,2.35,Single crystalline
ZrSe3,1.25,Single crystalline
Cr3Se4,0.015,
HgS,0.7,Single crystalline
Cr2O3,1.68,Single crystalline
GeSe2,2.69,Single crystalline
GeAs2,1,Single crystalline
LaB6,4.1,Polycrystalline
MgO,7.77,Single crystalline
As2S3,2.8,Single crystalline
CdSb,0.585,Single crystalline
As2S3,2.32,Amorphous
Ag2Te,0.28,
As2Se3,1.1,Amorphous
NaI,5.8,Single crystalline
CdAs2,1,Single crystalline
InSb,0.234,Single crystalline
GeAs,0.65,Single crystalline
CaO,7.03,Single crystalline
GeS,1.58,
AlAs,2.205,Polycrystalline
Bi2Te3,0.145,Single crystalline
As4S4,2.4,Single crystalline
SmSe,0.46,Single crystalline
CdO,2.3,Single crystalline
Cu2S,1.05,Polycrystalline
SnCl2,3.9,Polycrystalline
RbI,6.37,Single crystalline
GeTe2,0.3,
ZrC,0.6,
FeI2,5.15,Polycrystalline
ScN,2.6,
PrO,0.55,
MgO,7.69,Single crystalline
C,5.493,Single crystalline
Cu2O,2.59,
HgI2,2.13,Single crystalline
AlAs,2.2,Polycrystalline
Ce2Se3,1.62,Polycrystalline
Eu2O3,1.84,Polycrystalline
RbCl,8.5,Single crystalline
PbBr2,3.23,Polycrystalline
ZnTe,2.29,Single crystalline
HoN,1.79,Polycrystalline
As2O3,4,Polycrystalline
SnBr2,3.5,Single crystalline
Rb3Sb,1.7,
KI,6.25,Single crystalline
SnO2,4.1,Single crystalline
Pr2Se3,1.9,Single crystalline
Mg2Sn,0.36,Polycrystalline
PbTe,0.185,Single crystalline
MnS,6.2,Single crystalline
SnSe,1.2,Single crystalline
MoO3,3.66,Single crystalline
Ag2Te,0.025,Polycrystalline
TlBr,3.073,Single crystalline
NiTe,0.23,
EuS,3.1,Polycrystalline
CeN,0.7,
Dy2S3,2.91,Single crystalline
BiI3,2.52,Polycrystalline
EuTe,2,Single crystalline
MgTe,3.6,Single crystalline
MoO3,3.7,Polycrystalline
Ce2Te3,1.4,Polycrystalline
Sm2O3,2.27,
As2Se3,1.7,Single crystalline
Si,1.12,Single crystalline
As2S5,2.62,Amorphous
As2S3,2.355,Single crystalline
AgCl,3.246,Single crystalline
Te,0.33,Polycrystalline
CdSb,0.7,Single crystalline
AlB,0.74,Single crystalline
Nd4Te7,0.38,
PbSe,0.29,Single crystalline
Al2S3,4.1,
MnF2,10.24,Single crystalline
SnBr2,3.4,Polycrystalline
Ag2Te,0.85,Single crystalline
Sb2Se3,1.2,Single crystalline
Ag2Se,0.07,Polycrystalline
TiSe2,1.55,Single crystalline
GaSb,0.813,Single crystalline
VO,0.3,
LiF,12.6,Single crystalline
BAs,3.56,
Sb2S3,1.7,Single crystalline
GeS,1.77,Single crystalline
CdI2,3.26,Polycrystalline
V4O7,0.8,Single crystalline
As2S3,2.21,Amorphous
PbBr2,3.5,Single crystalline
GaSe,2.2,Single crystalline
CdTe,1.58,Single crystalline
Sb2S3,1.7,Single crystalline
HgTe,0.175,Single crystalline
K2S,2.1,
Te,0.335,Single crystalline
ZrS3,2.17,Single crystalline
Se,1.71,Single crystalline
UO2,1.3,Polycrystalline
AlAs,2.215,Single crystalline
KBr,6.75,Single crystalline
GaAs,1.09,Single crystalline
Se,1.72,Single crystalline
KBr,7.215,Single crystalline
Mg2Ge,0.63,Single crystalline
Fe2Te3,0.6,Polycrystalline
MoO3,2.96,Single crystalline
K3Sb,1.1,Polycrystalline
Bi2O3,2.58,Polycrystalline
GaS,2.5,Single crystalline
Ag2Se,0.13,Polycrystalline
Zn4Sb3,1.2,Single crystalline
GaSb,0.81,Single crystalline
PdO,1.5,Polycrystalline
HgBr2,3.59,Polycrystalline
Mg2Ge,1.78,Single crystalline
GaAs,1.253,Single crystalline
LiF,11.7,Single crystalline
PtSb2,0.07,Single crystalline
PtAs2,0.55,Single crystalline
Eu2O3,1.7,Polycrystalline
Te,0.35,
CdTe,1.595,Single crystalline
SnO2,3.597,Single crystalline
NiS,0.12,Single crystalline
La2Se3,1.97,Single crystalline
Cr2S3,0.9,Polycrystalline
ZnS,3.704,Single crystalline
GeO2,5.56,Single crystalline
MnF2,10.2,Single crystalline
PbSe,0.27,Single crystalline
Sb2O3,3.31,Polycrystalline
ThO2,3.3,Single crystalline
In2Se,0.65,Single crystalline
GaAs,1.511,Single crystalline
ZnSb,0.99,Single crystalline
HfS3,2.85,Single crystalline
HgSe,0.1,
Bi,0.006,
Lu2O3,3.94,Polycrystalline
Na3Sb,1.17,Single crystalline
As2S3,2.2,Amorphous
V2O5,2.3,Single crystalline
HgI2,2.795,Single crystalline
Cs2Te,3.5,
CeO2,2.68,Polycrystalline
PbS,0.285,Single crystalline
TiTe2,1,Single crystalline
ZnSb,0.514,Single crystalline
RbCl,8.3,Single crystalline
PbSe,0.176,Single crystalline
As2S5,2.21,Amorphous
Mg3P2,1.4,
MoTe2,1.02,Single crystalline
CaSe,4.87,Polycrystalline
LaB6,4.9,Single crystalline
TlS,0.98,
EuS,1.645,Polycrystalline
BeO,5.2,
KBr,7.3,Single crystalline
OsSb2,0.2,Polycrystalline
In2Te3,0.85,Single crystalline
Mg2Si,0.66,Single crystalline
MnO,2.6,Single crystalline
AlAs,2.223,Polycrystalline
Mg2Si,0.77,Polycrystalline
Cs3Bi,0.55,
GaSe,2.109,Single crystalline
ReO3,2.3,Single crystalline
PbTe,0.31,Single crystalline
GeS,1.59,Single crystalline
InSb,0.235,Single crystalline
Ta2O5,4.6,Polycrystalline
AlB,0.82,Single crystalline
Se,1.75,Single crystalline
Sb2O3,4.2,Polycrystalline
PbTe,0.217,Single crystalline
PbO,2.84,Single crystalline
InSe,1.12,Single crystalline
Nb2O5,3.08,Polycrystalline
PrO2,0.66,Polycrystalline
B,1.47,Single crystalline
Ca2Si,1.9,Polycrystalline
WO3,2.7,Single crystalline
HgI2,2.19,Single crystalline
Er3Te4,0.9,Polycrystalline
HgTe,0.303,Single crystalline
GaS,2.58,Single crystalline
NiO,3.7,Single crystalline
K2Se,1.8,
EuSe,3.1,Polycrystalline
ZnTe,2.372,Polycrystalline
PbSe,0.165,Single crystalline
ZnSb,1.11,Single crystalline
ZnTe,2.385,Single crystalline
C,5.413,Single crystalline
EuSe,1.78,Single crystalline
SrO,5.7,Polycrystalline
CsBi2,0.55,
Pb3O4,2.12,Polycrystalline
HgI2,3.045,Single crystalline
InP,1.34,Single crystalline
Mg2Sn,0.135,Single crystalline
GaAs,1.479,Single crystalline
RbF,10.4,Single crystalline
B,1.55,Single crystalline
ErSe2,1.07,Polycrystalline
PbO,2.76,Single crystalline
Ag2Te,0.13,Polycrystalline
CuI,3.047,Polycrystalline
SnSe2,1.3,Single crystalline
SiC,3.33,Single crystalline
KCl,7.8,Single crystalline
Cd3As2,0.425,Single crystalline
BiI3,2.029,Single crystalline
Sb2S3,1.72,Single crystalline
Nd2Se3,1.7,Single crystalline
RbI,6.25,Single crystalline
GeSe,1.17,Single crystalline
Pb2O3,1.67,Polycrystalline
SbSi,1.9,Polycrystalline
V2O5,2.49,Single crystalline
GaSe,2.169,Single crystalline
As2S3,2.43,Single crystalline
HgO,2.214,Polycrystalline
BN,8,Single crystalline
PrF3,5.3,Polycrystalline
WTe2,0.05,Single crystalline
RhSe3,0.7,
SnSe2,1,Single crystalline
CsCl,7.8,Polycrystalline
Cu2O,2.17,Polycrystalline
FeAs2,0.2,Polycrystalline
NdB6,3.4,Polycrystalline
OsP2,1.2,Polycrystalline
B,1.42,Single crystalline
Ga2Te3,1.08,Single crystalline
Mg2Ge,1.64,Single crystalline
PdS,0.5,Single crystalline
CsBr,6.9,
PtSb2,0.11,Single crystalline
HgI2,2.315,Single crystalline
RbBr,7.65,Single crystalline
SnTe,0.3,Single crystalline
Cd4Sb3,1.25,Single crystalline
PbTe,0.29,Single crystalline
Zn3As2,0.86,Polycrystalline
Cd3As2,0.048,Single crystalline
SnS2,2.6,Polycrystalline
ZnTe,2.23,Single crystalline
MnTe9,2,Polycrystalline
EuSe,1.87,Single crystalline
Er2Se3,1.66,Polycrystalline
Ce2S3,1.12,
PbTe,0.19,Single crystalline
CsF,10,Polycrystalline
SiC,2.86,Single crystalline
EuSe,1.8,Single crystalline
InS,1.86,Single crystalline
ThO2,3.3,Polycrystalline
TiS2,1.24,Single crystalline
PbO,3.18,Polycrystalline
Sb2S3,1.63,Single crystalline
PbCl2,4.1,Polycrystalline
EuSe,1.78,Polycrystalline
RbI,5.83,Single crystalline
TlSe,0.74,Single crystalline
AgI,2.82,Polycrystalline
ZnO,3.435,Single crystalline
Ag2S,1.03,Polycrystalline
CdSe,1.83,Single crystalline
GaN,3.25,Polycrystalline
CaTe,4.07,Polycrystalline
Eu3O4,0.6,Polycrystalline
Tb2O3,0.86,
Cu2S,1.93,Single crystalline
PtSe2,0.1,
Mg2Ge,0.66,Single crystalline
GaS,2.7,Single crystalline
SeTe,1.58,Polycrystalline
CrSi2,0.35,Single crystalline
Cd3P2,0.589,Single crystalline
Ag2Te,0.064,Polycrystalline
Te,0.32,Single crystalline
ZnTe,2.34,Single crystalline
CdI2,3.478,Single crystalline
CeF3,4.85,
BN,3.8,Polycrystalline
SnTe,0.33,Polycrystalline
In2Te3,1.09,Polycrystalline
Ag2Te,0.2,
As2S3,2.1,Amorphous
SnO2,3.54,Single crystalline
As2Se3,2,Single crystalline
TaN,2.3,Polycrystalline
TlCl,3.56,Single crystalline
GaP,2.895,Single crystalline
I,1.3,Single crystalline
Cu2S,1.8,Polycrystalline
Fe2Te3,0.34,Polycrystalline
ZnTe,2.255,Single crystalline
LiI,6,Single crystalline
LaSb,0.8,Polycrystalline
RuS2,1.8,Polycrystalline
V2O5,2.34,Single crystalline
Cd3As2,0.14,Single crystalline
PbI2,2.32,Single crystalline
AlSb,1.62,Single crystalline
Mg3As2,1,
WSe2,1.57,Single crystalline
SnSe2,1.03,Single crystalline
YbAs,1.02,Polycrystalline
ZnS,3.68,Single crystalline
K3Sb,1,Polycrystalline
EuO,1.1,Polycrystalline
As2S3,2.062,Amorphous
Te,0.336,Single crystalline
Bi2S3,1.3,Polycrystalline
Na2S,2.4,
As2S3,2.48,Polycrystalline
Sb,0.1,Single crystalline
Hg2Cl2,3.8,Single crystalline
As2Se3,1.81,Amorphous
Bi2Te3,0.15,Single crystalline
Cu2Se,1.29,Single crystalline
Dy2O3,3.08,Polycrystalline
TiSe2,0.69,Single crystalline
TlN3,3.58,Polycrystalline
Mg2Ge,1.737,Single crystalline
ThO2,3.5,Polycrystalline
Er2Te3,0.9,Polycrystalline
SnS2,2.21,Single crystalline
BeSe,3.61,
PbSe,0.275,Single crystalline
As2S3,2.36,Amorphous
GeTe,0.33,
GeSn,0.8,
Mg2Si,0.78,Single crystalline
MoS2,1.83,Single crystalline
SbI3,2.49,Single crystalline
Mg2Si,2.27,Single crystalline
ZnSe,2.81,Single crystalline
I,1.6,Single crystalline
Rb2Te,4.5,
In2Te3,1.11,Single crystalline
Ga2S3,3.59,Single crystalline
HgO,1.02,
GeO2,5.63,Amorphous
PbSe,0.165,Single crystalline
PdSe2,0.4,Single crystalline
GeS2,3.71,Single crystalline
NbO2,0.25,
RuAs2,0.8,Polycrystalline
SmS,0.22,
CdSc,1.714,Single crystalline
AlN,5.9,Single crystalline
CsI,6.4,Polycrystalline
PbBr2,3.31,Polycrystalline
PbSe,0.176,Single crystalline
InSe,1.293,Single crystalline
NaI,5.89,Single crystalline
CaB6,4.4,
Ga2Te3,1.13,Single crystalline
SrO,1.16,
KCl,8.69,Single crystalline
CdS,2.582,Single crystalline
AgCl,3.252,Single crystalline
AlAs,2.25,Single crystalline
GeTe,0.77,Amorphous
SnO2,3.9,Polycrystalline
CdF2,6,Single crystalline
KBr,7.13,Single crystalline
GeAs,1.455,Single crystalline
GaP,2.235,Single crystalline
ZnP2,1.65,
GaP,2.223,Single crystalline
CuCl,3.306,Polycrystalline
Mg2Sn,0.185,Single crystalline
Mg2Ge,0.57,Single crystalline
Cu2O,2.02,Polycrystalline
Al2Te3,2.2,
CrTe,0.02,Polycrystalline
Si2Te3,2,Single crystalline
B,1.27,Single crystalline
SbSi,1.9,Single crystalline
AsBr3,2.6,Polycrystalline
FeSc2,0.777,Polycrystalline
FeSi2,0.88,
CdP2,1.55,
Al2Te3,2.5,
RbBr,7.7,Single crystalline
MnTe2,0.48,Polycrystalline
Mg2Ge,1.804,Single crystalline
Cu2Se,1.23,Single crystalline
RbBr,7.2,Single crystalline
Cs3Sb,1.6,Polycrystalline
CdP4,1,Polycrystalline
Al2O3,7,Single crystalline
PbO2,1.5,
In2S3,2.28,Single crystalline
Cr2O3,1.62,Polycrystalline
GdB6,3.6,Polycrystalline
C,7.02,Single crystalline
Mg2Si,2.27,Single crystalline
SnO2,2.55,Single crystalline
In2Te3,1.026,Polycrystalline
Ce2Se3,0.09375,Single crystalline
Sb2Se3,1.4,Single crystalline
AgCl,5.13,Single crystalline
SiSe2,1.72,Single crystalline
TiO2,3.3,Single crystalline
Mg2Sn,0.23,Single crystalline
In2O3,3.55,Polycrystalline
ZrSe2,2,Single crystalline
Ti2O3,0.02,Single crystalline
RuP2,1,Polycrystalline
HgI2,2.47,Single crystalline
RhSe2,0.6,
SrTe,3.73,Polycrystalline
As2S3,2.64,Single crystalline
SrS,4.8,Single crystalline
Ag2Se,0.05,Polycrystalline
CdBr2,4.47,Polycrystalline
As2S6,2.35,Amorphous
P,0.35,Single crystalline
BaO,4.8,
UO2,2.18,Single crystalline
EuS,1.645,Single crystalline
K3Sb,1.1,Polycrystalline
HgS,0.54,Single crystalline
ZrS2,1.68,Single crystalline
Na3Sb,1,Polycrystalline
Si,1.166,Single crystalline
Zn3P2,1.15,Single crystalline
Rh2S3,0.8,
AgN3,3.9,Polycrystalline
PrTe2,1.02,Single crystalline
MgSe,5.63,Polycrystalline
ZnTe,2.37,Single crystalline
MoO3,2.8,Single crystalline
Cs3As,0.6,
InSb,0.236,Single crystalline
PbO,2.88,Single crystalline
PbO,2.73,Polycrystalline
MnSe,1.8,Single crystalline
Bi2Se3,0.35,Single crystalline
V2O5,1.95,Polycrystalline
SnS,1.08,Polycrystalline
GaAs,1.46,Single crystalline
InP,1.413,Single crystalline
Al2O3,8.56,Single crystalline
GeO2,5.54,Single crystalline
CdCl2,5.8,
As2Se3,1.63,Amorphous
Hg2Br2,2.6,Single crystalline
Cd3P2,0.586,Single crystalline
SnI4,2.38,Single crystalline
ZnO,3.418,Single crystalline
Se,1.56,Single crystalline
BaO,3.8,Single crystalline
Ag2S,1,Single crystalline
CdI2,4.228,Single crystalline
ZnS,3.82,Single crystalline
FeSi2,0.9,Polycrystalline
ZnAs2,0.93,Single crystalline
Sn,0.092,Single crystalline
HfO2,5.55,Polycrystalline
ZnSb,0.606,Single crystalline
Cs3Sb,1.6,Polycrystalline
Bi2O3,2.15,Polycrystalline
ZnAs2,1.3,Single crystalline
Ce2Se3,2,Polycrystalline
BiI3,1.93,Single crystalline
Gd2O3,2.9,Polycrystalline
Zr3O,0.2,Polycrystalline
GeSe2,2.485,Single crystalline
GaAs,1.435,Single crystalline
Cu2Te,1.08,Polycrystalline
Si,1.16,Single crystalline
Ti2O3,0.05,Single crystalline
CaB6,3.3,Single crystalline
GeS2,3.54,Single crystalline
In2Se3,1.2,Polycrystalline
Al2O3,7.3,Polycrystalline
GeI2,1.5,
TbO2,0.5,Polycrystalline
PdS2,0.75,Single crystalline
HfSe2,1.13,Single crystalline
BeO,11.2,Single crystalline
V2O5,2.36,Single crystalline
Se,2.85,Single crystalline
FeSe2,0.5,Polycrystalline
PtSb2,0.11,Single crystalline
YbS,0.176,Polycrystalline
BaF2,9.06,Single crystalline
GaSb,0.725,Single crystalline
Sm2Se3,2.3,Single crystalline
Y2O3,5.6,Single crystalline
SmSb,0.59,Polycrystalline
WO3,2.9,Single crystalline
WSe2,1.35,Single crystalline
CBr4,3.7,Polycrystalline
GaAs,1.51,Single crystalline
PtP2,0.8,Polycrystalline
BP,5.9,
SrSe,4.45,Single crystalline
CdS,2.425,Single crystalline
CdSe,1.815,Single crystalline
GaS,2.591,Single crystalline
Mg3Bi2,0.1,
Bi2Te3,0.16,Single crystalline
GaTe,1.52,Single crystalline
Bi2O3,2.85,Polycrystalline
Gd2O3,1.36,
CdS,2.573,Single crystalline
Nb2O5,1.65,Single crystalline
Mg2Ge,0.54,Single crystalline
PbTe,0.19,Single crystalline
Mg2Sn,0.18,Single crystalline
GaP,2.78,Single crystalline
ThO2,3.2,Polycrystalline
GeO2,6,Amorphous
C,5.47,Single crystalline
TiO2,2.9,Single crystalline
CdO,2.35,Single crystalline
Ga2Te3,1.45,Single crystalline
PbO2,2,
AlBi,0.4,
C,6,
Se,1.8,Single crystalline
SnS2,2.07,Single crystalline
BP,2,Single crystalline
CoO,0.47,Single crystalline
EuTe,1.959,Single crystalline
BaS,3.9,Polycrystalline
BeO,14.5,
AlSb,2.218,Single crystalline
VO2,0.4,Single crystalline
SnTe,0.36,Polycrystalline
HgI2,2.11,Single crystalline
CdP2,1.92,
Mg2Si,2.17,Single crystalline
BAs,1.46,Polycrystalline
ZnP2,2.18,
C,5.41,Single crystalline
As,1.2,Single crystalline
In2Te3,0.84,Single crystalline
HgTe,0.283,Single crystalline
ZnSb,0.61,Single crystalline
TlI,2.67,Single crystalline
MgTe,4.7,
ZnAs2,0.9,Single crystalline
CuP2,1.4,Single crystalline
TiS3,0.9,
GaTe,1.74,Single crystalline
BaO,5.13,Polycrystalline
As2Se3,1.8,Amorphous
ZnSb,0.48,Single crystalline
In2Te3,1,
Zr6O,0.18,Polycrystalline
KCl,7.68,Single crystalline
Bi2Te3,0.13,Single crystalline
HgS,2.095,Single crystalline
In4S5,0.9,Single crystalline
Al2Te3,2.5,
HgI2,2.095,Single crystalline
KI,6.31,Single crystalline
CdP2,2.15,Single crystalline
TlSe,0.96,Single crystalline
Bi2O3,3.1,Polycrystalline
WSe2,1.45,Single crystalline
GeTe,0.8,Polycrystalline
LiF,12.1,Single crystalline
As2S3,2.56,Single crystalline
PtO2,0.2,Polycrystalline
MoS2,1,Polycrystalline
Ag2Te,0.064,Single crystalline
TlSe,0.57,Single crystalline
AlN,5.74,Single crystalline
SiO2,10.4,Single crystalline
MoO3,3.54,Single crystalline
KBr,7.6,Single crystalline
BiI3,1.81,Single crystalline
Bi2S3,1.2,Single crystalline
PrB6,4.9,Single crystalline
GdN,1.54,
AlP,2.42,Polycrystalline
Tl2Te3,0.7,Single crystalline
SnS2,2.88,Single crystalline
Ti2O3,0.04,
Dy2O3,1.39,Polycrystalline
EuO,1.115,Single crystalline
AlAs,2.16,Single crystalline
PbO,1.936,Single crystalline
Tl2O3,1.4,
TiO2,3,Single crystalline
KI,6.08,Single crystalline
Rb3Sb,1,Polycrystalline
NaBr,7.26,Single crystalline
InSe,1.187,Single crystalline
Na3Sb,1.1,Polycrystalline
AsI3,2.29,Single crystalline
InAs,0.356,Single crystalline
MnI2,4.04,Polycrystalline
GaS,2.5,Single crystalline
Zn3Sb2,0.2,Polycrystalline
GeSe2,2.38,Single crystalline
V2O4,0.66,Single crystalline
Y2O3,1.46,
GaAs,1.507,Single crystalline
RbBr,7.25,Single crystalline
KCl,8.9,Single crystalline
GeSe,1.53,Single crystalline
GaN,3.8,Single crystalline
MgSe,5.6,
CdP2,1.93,Single crystalline
HfSe2,2.2,Single crystalline
ZnSb,0.603,Single crystalline
CeO2,5.5,Single crystalline
ZnSb,0.53,Single crystalline
AlSb,1.6,Single crystalline
MgO,7.4,Single crystalline
Cu2Te,1.02,Single crystalline
MgF2,11.8,Single crystalline
Mg2Ge,0.532,Single crystalline
GaS,2.62,Single crystalline
PbTe,0.21,Single crystalline
HgS,2.183,Single crystalline
Ho2O3,2.84,Polycrystalline
Ga2Te3,1.32,Single crystalline
C,5.542,Single crystalline
WO3,2.8,Single crystalline
Mg2Pb,0.041,Single crystalline
Mg2Ge,1.64,
NiO,4,Polycrystalline
Sb2O3,3.2,Polycrystalline
NiO,3.7,Single crystalline
SeTe,0.561,
Bi2Se3,0.35,Single crystalline
BSb,2.6,
InSb,0.175,Single crystalline
Ge,0.88,Single crystalline
ZnSe,2.795,Single crystalline
SnO2,3.69,Single crystalline
Ge,0.665,Single crystalline
PdSe,0.2,Single crystalline
SiAs,1.48,Single crystalline
KF,10.9,Single crystalline
ThO2,5.75,
Ga2O3,4.4,Single crystalline
TeO2,3,Polycrystalline
PbO,2.6,Polycrystalline
AgBr,2.683,Single crystalline
GeS,1.69,Single crystalline
HfS3,2.8,Single crystalline
HgTe,0.19,Single crystalline
Na3Sb,1.1,
CuN3,4.96,Polycrystalline
CdI2,3.857,Single crystalline
As2S5,2.48,Amorphous
MoTe2,0.83,Single crystalline
AsTe,0.74,Amorphous
RbI,6.26,Single crystalline
GaS,2.53,Single crystalline
PbO2,1.7,
InP,1.351,Single crystalline
AlN,5.9,Single crystalline
SnS,1.3,Polycrystalline
LiI,5.9,Single crystalline
BAs,1.6,
B,1.38,Amorphous
ZnTe,2.176,Single crystalline
PrAs,1,Polycrystalline
PbO,2.66,Single crystalline
TlSe,0.7,Single crystalline
P,1.6,Single crystalline
ZnTe,2.25,Single crystalline
